"country_code","state_code","name","postcode"
"AU","NSW","Bellambi","2518"
"AU","VIC","Lamplough","3467"
"AU","NSW","Kings Park","2148"
"AU","NSW","Warrangunia","2850"
"AU","VIC","Kangaroo Hills","3364"
"AU","SA","Whyalla Stuart","5608"
"AU","VIC","Wartook","3400"
"AU","WA","Tamala Park","6030"
"AU","NT","Kulgera","0872"
"AU","VIC","Maffra","3860"
"AU","VIC","Detpa","3423"
"AU","TAS","Teatree","0"
"AU","NSW","Wingello","2579"
"AU","SA","Salisbury Heights","5109"
"AU","QLD","Brisbane Forest Park","4000"
"AU","VIC","Minerva","3218"
"AU","WA","Kalannie","6468"
"AU","NSW","Hamilton North","2292"
"AU","VIC","Garvoc","3265"
"AU","TAS","West Hobart","7000"
"AU","WA","Dalyup","6450"
"AU","WA","Dardanup","6236"
"AU","VIC","Derrimut","3030"
"AU","WA","Dawesville","6210"
"AU","SA","Rapid Bay","5204"
"AU","QLD","Delaneys Creek","4514"
"AU","SA","Mount Schank","5291"
"AU","VIC","Madalya","3971"
"AU","TAS","Forester","7261"
"AU","TAS","Port Latta","7321"
"AU","VIC","Richmond","3121"
"AU","SA","Holden Hill","5088"
"AU","VIC","Boinka","3490"
"AU","VIC","Monomeith","3984"
"AU","QLD","Bli Bli","4560"
"AU","VIC","Richmond Plains","3518"
"AU","NSW","Nelligen","2536"
"AU","QLD","Wakerley","4154"
"AU","SA","Mount Gambier West","5290"
"AU","NSW","Rouchel Brook","2336"
"AU","NSW","Pembrooke","2446"
"AU","QLD","Capalaba","4157"
"AU","NSW","Orange East","2800"
"AU","NSW","Kilgra","2474"
"AU","NSW","Camden","2570"
"AU","NSW","Corroboree Flat","2422"
"AU","NT","Virginia","0820"
"AU","QLD","Holland Park West","4121"
"AU","SA","Greenacres","5086"
"AU","NSW","Dapto","2530"
"AU","NSW","Urangeline East","2656"
"AU","QLD","Blackbutt","4306"
"AU","TAS","Lutana","7009"
"AU","VIC","Reservoir","3073"
"AU","NSW","Lowlands","2753"
"AU","WA","Studleigh","6461"
"AU","QLD","Proston","4613"
"AU","NSW","Pagewood","2035"
"AU","NSW","Warrawong","2502"
"AU","SA","Regency Park","5010"
"AU","TAS","Relbia","7258"
"AU","VIC","Jacana","3047"
"AU","NSW","Barkers Vale","2474"
"AU","NSW","Balmain East","2041"
"AU","NSW","Southgate","2460"
"AU","NSW","Lacmalac","2720"
"AU","VIC","Mead","3568"
"AU","VIC","Buckland","3740"
"AU","VIC","Amphitheatre","3468"
"AU","VIC","Kobyboyn","3660"
"AU","VIC","Yalca North","3638"
"AU","QLD","Yeronga West","4104"
"AU","WA","Kiara","6054"
"AU","NSW","Bundanoon","2578"
